MemberID            ,AutomationName                                                                                                                                                                                                                                                                                                                                                                                                  ,AutomationCustomerKey                                                                                                                                                                                                                                                                                                                                                                                           ,AutomationInstanceID                ,ActivityType,ActivityName                                                                                                                                                                                                                                                                                                                                                                                                    ,ActivityDescription                                                                                                                                                                                                                                                                                                                                                                                             ,ActivityCustomerKey                                                                                                                                                                                                                                                                                                                                                                                             ,ActivityInstanceStep     ,ActivityInstanceID                  ,ActivityInstanceStartTime_UTC                ,ActivityInstanceEndTime_UTC                  ,ActivityInstanceStatus                                                                                                                                                                                                                                          ,ActivityInstanceStatusDetails                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
--------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,------------------------------------,------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-------------------------,------------------------------------,---------------------------------------------,---------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
           555555555,automation-5a07dfd4-ebca-696f-a8d7-4e2b1c776b53                                                                                                                                                                                                                                                                                                                                                                 ,5a07dfd4-ebca-696f-a8d7-4e2b1c776b53                                                                                                                                                                                                                                                                                                                                                                            ,0EB84AD4-314D-405D-915B-F6C588A53F77,          43,Import                                                                                                                                                                                                                                                                                                                                                                                                          ,NULL                                                                                                                                                                                                                                                                                                                                                                                                            ,51c19a18-d16b-4b68-b288-e8c165080d0b                                                                                                                                                                                                                                                                                                                                                                            ,2.2                      ,845D672F-081E-4848-AF4E-5FC2E5F9AC12,           2023-02-15 23:57:02.1700000 +00:00,           2023-02-15 23:57:21.8033333 +00:00,Complete                                                                                                                                                                                                                                                        ,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
           555555555,automation-5a07dfd4-ebca-696f-a8d7-4e2b1c776b53                                                                                                                                                                                                                                                                                                                                                                 ,5a07dfd4-ebca-696f-a8d7-4e2b1c776b53                                                                                                                                                                                                                                                                                                                                                                            ,0EB84AD4-314D-405D-915B-F6C588A53F77,         300,Automation                                                                                                                                                                                                                                                                                                                                                                                                      ,NULL                                                                                                                                                                                                                                                                                                                                                                                                            ,cf8d9086-913a-44b9-ae67-44c4567f0284                                                                                                                                                                                                                                                                                                                                                                            ,4.4                      ,AEAB9A31-671A-4ECA-B6A8-C87A5225ECB4,           2023-02-15 23:57:25.5500000 +00:00,           2023-02-15 23:57:28.7333333 +00:00,Complete                                                                                                                                                                                                                                                        ,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
           555555555,automation-5a07dfd4-ebca-696f-a8d7-4e2b1c776b53                                                                                                                                                                                                                                                                                                                                                                 ,5a07dfd4-ebca-696f-a8d7-4e2b1c776b53                                                                                                                                                                                                                                                                                                                                                                            ,0EB84AD4-314D-405D-915B-F6C588A53F77,         300,Send                                                                                                                                                                                                                                                                                                                                                                                                            ,NULL                                                                                                                                                                                                                                                                                                                                                                                                            ,9a13a07e-5aab-4212-a6b6-619769865399                                                                                                                                                                                                                                                                                                                                                                            ,3.3                      ,8449F915-3D5A-49C0-9B85-0EBEE572A05C,           2023-02-15 23:57:22.0400000 +00:00,           2023-02-15 23:57:25.5033333 +00:00,Complete                                                                                                                                                                                                                                                        ,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
           555555555,automation-e13ff4e4-82b6-460d-b11e-bad8dd307692                                                                                                                                                                                                                                                                                                                                                                 ,e13ff4e4-82b6-460d-b11e-bad8dd307692                                                                                                                                                                                                                                                                                                                                                                            ,0146EBDC-4FE7-4680-9375-125602583BA2,         300,Import                                                                                                                                                                                                                                                                                                                                                                                                          ,NULL                                                                                                                                                                                                                                                                                                                                                                                                            ,261db77f-e73c-432d-a6d0-8dee675bf80d                                                                                                                                                                                                                                                                                                                                                                            ,1.1                      ,194470BF-50B8-4F4E-966A-8EEBAAB9CD16,           2023-02-12 17:02:59.9066667 +00:00,           2023-02-12 17:05:23.3666667 +00:00,Complete                                                                                                                                                                                                                                                        ,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
           555555555,automation-e13ff4e4-82b6-460d-b11e-bad8dd307692                                                                                                                                                                                                                                                                                                                                                                 ,e13ff4e4-82b6-460d-b11e-bad8dd307692                                                                                                                                                                                                                                                                                                                                                                            ,0146EBDC-4FE7-4680-9375-125602583BA2,         952,Automation                                                                                                                                                                                                                                                                                                                                                                                                      ,NULL                                                                                                                                                                                                                                                                                                                                                                                                            ,efb29800-8e82-4637-bc81-81353f153051                                                                                                                                                                                                                                                                                                                                                                            ,3.3                      ,6B3BA564-87EE-49FA-8CDF-305F70D04EAA,           2023-02-12 17:09:13.8066667 +00:00,           2023-02-12 17:09:14.9166667 +00:00,Complete                                                                                                                                                                                                                                                        ,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
