_ContactID                                                                                                                                                                                              ,_DeviceID                                                                                                                                                                                               ,_APID                                 ,_Status                                                                                                                                                                                                 ,_Source                                                                                                                                                                                                 ,_SourceObjectId                                                                                                                                                                                         ,_Platform                                                                                           ,_PlatformVersion                                                                                    ,_Alias                                                                                              ,_OptOutStatusID,_OptOutMethodID,_OptOutDate            ,_OptInStatusID,_OptInMethodID,_OptInDate             ,_Channel            ,_CreatedDate           ,_CreatedBy                                                                                                                                                                                              ,_ModifiedDate          ,_ModifiedBy                                                                                                                                                                                             ,_City                                                                                                                                                                                                   ,_State                                                                                                                                                                                                  ,_ZipCode            ,_FirstName                                                                                          ,_LastName                                                                                           ,_UTCOffset          ,_IsHonorDST,_SystemToken                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,_ProviderToken                                                                                                                                                                                          ,_Badge     ,_LocationEnabled,_TimeZone                                         ,_Device                                                                                             ,_HardwareId                                                                                         ,_DeviceType         
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------,---------------,---------------,-----------------------,--------------,--------------,-----------------------,--------------------,-----------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-----------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------,----------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------,--------------------,-----------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-----------,----------------,--------------------------------------------------,----------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------,--------------------
37147280                                                                                                                                                                                                ,108071DC-CFB6-472C-928F-671DCE63B7E7                                                                                                                                                                    ,f20ca16f-33c3-478a-872e-c37521e11174  ,1                                                                                                                                                                                                       ,13                                                                                                                                                                                                      ,NULL                                                                                                                                                                                                    ,iPhone OS                                                                                           ,16.2                                                                                                ,NULL                                                                                                ,              1,             16,2022-12-01 19:41:00.000,             0,          NULL,                   NULL,Push                ,2022-12-01 19:42:00.000,'-1000                                                                                                                                                                                                  ,2023-02-07 22:17:00.000,'-1000                                                                                                                                                                                                  ,NULL                                                                                                                                                                                                    ,NULL                                                                                                                                                                                                    ,NULL                ,NULL                                                                                                ,NULL                                                                                                ,                   0,          0,B504D867-64AC-429B-A3B9-7C38D3C601D7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,A1B4C46A-DC6E-4822-A0E4-FB9F9E4DB3EE                                                                                                                                                                    ,       NULL,               0,NULL                                              ,NULL                                                                                                ,iPhone14,2                                                                                          ,NULL                
29910783                                                                                                                                                                                                ,89DB9C65-D818-462B-8148-0D930645B805                                                                                                                                                                    ,f20ca16f-33c3-478a-872e-c37521e11174  ,1                                                                                                                                                                                                       ,13                                                                                                                                                                                                      ,NULL                                                                                                                                                                                                    ,iPhone OS                                                                                           ,15.6.1                                                                                              ,NULL                                                                                                ,              1,             13,2022-12-10 12:21:00.000,             0,            13,2022-12-01 19:41:00.000,Push                ,2022-12-01 19:42:00.000,'-1000                                                                                                                                                                                                  ,2022-12-10 12:22:00.000,'-1000                                                                                                                                                                                                  ,NULL                                                                                                                                                                                                    ,NULL                                                                                                                                                                                                    ,NULL                ,NULL                                                                                                ,NULL                                                                                                ,                   0,          0,EBD7B561-3897-4648-9B50-39607469EA72                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,C3B2022E-BE98-4604-A6E6-4C19B34F780C                                                                                                                                                                    ,          3,               1,NULL                                              ,iPhone 7                                                                                            ,iPhone9,1                                                                                           ,Phone               
28194207                                                                                                                                                                                                ,C1E8788F-ABBE-417C-9224-3ED13150C242                                                                                                                                                                    ,f20ca16f-33c3-478a-872e-c37521e11174  ,1                                                                                                                                                                                                       ,13                                                                                                                                                                                                      ,NULL                                                                                                                                                                                                    ,iPhone OS                                                                                           ,16.1.1                                                                                              ,NULL                                                                                                ,              1,             16,2022-12-01 19:41:00.000,             0,          NULL,                   NULL,Push                ,2022-12-01 19:42:00.000,'-1000                                                                                                                                                                                                  ,2022-12-01 19:48:00.000,'-1000                                                                                                                                                                                                  ,Rochester                                                                                                                                                                                               ,NY                                                                                                                                                                                                      ,14618               ,NULL                                                                                                ,NULL                                                                                                ,                   0,          0,62893BD4-E3EF-4831-95C5-0CA5C58739E3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,9F482055-58BA-4F68-BAAE-0EB53BF1E445                                                                                                                                                                    ,       NULL,               0,NULL                                              ,NULL                                                                                                ,iPhone12,1                                                                                          ,NULL                
55160481                                                                                                                                                                                                ,237815f5-846a-41b4-bc2d-fd936a0d92e4                                                                                                                                                                    ,f20ca16f-33c3-478a-872e-c37521e11174  ,1                                                                                                                                                                                                       ,13                                                                                                                                                                                                      ,NULL                                                                                                                                                                                                    ,Android OS                                                                                          ,11                                                                                                  ,NULL                                                                                                ,              0,           NULL,                   NULL,             2,            13,2022-12-01 19:41:00.000,Push                ,2022-12-01 19:42:00.000,'-1000                                                                                                                                                                                                  ,2022-12-17 19:08:00.000,'-1000                                                                                                                                                                                                  ,NULL                                                                                                                                                                                                    ,NULL                                                                                                                                                                                                    ,NULL                ,NULL                                                                                                ,NULL                                                                                                ,                   0,          0,4727FDE6-DF9E-44AA-925A-634BB49C9005                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,1719EA26-6A94-4F33-B4D2-45615C2C980E                                                                                                                                                                    ,       NULL,               0,NULL                                              ,NULL                                                                                                ,Wingtech TMRVL4G                                                                                    ,NULL                
53560192                                                                                                                                                                                                ,AEC30D69-4712-4A6B-A0E3-0B9DA96176BB                                                                                                                                                                    ,f20ca16f-33c3-478a-872e-c37521e11174  ,1                                                                                                                                                                                                       ,13                                                                                                                                                                                                      ,NULL                                                                                                                                                                                                    ,iPhone OS                                                                                           ,16.3.1                                                                                              ,NULL                                                                                                ,              0,           NULL,                   NULL,             2,            13,2022-12-01 19:41:00.000,Push                ,2022-12-01 19:42:00.000,'-1000                                                                                                                                                                                                  ,2023-02-27 13:53:00.000,'-1000                                                                                                                                                                                                  ,NULL                                                                                                                                                                                                    ,NULL                                                                                                                                                                                                    ,NULL                ,NULL                                                                                                ,NULL                                                                                                ,                   0,          0,22EAB25F-7515-4674-9E9E-18D3F4619738                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,79FDE7EA-4649-42B6-A0D0-7210EA6AF258                                                                                                                                                                    ,          2,               1,NULL                                              ,NULL                                                                                                ,iPhone15,3                                                                                          ,NULL                
37147280                                                                                                                                                                                                ,108071DC-CFB6-472C-928F-671DCE63B7E7                                                                                                                                                                    ,f20ca16f-33c3-478a-872e-c37521e11174  ,1                                                                                                                                                                                                       ,13                                                                                                                                                                                                      ,NULL                                                                                                                                                                                                    ,iPhone OS                                                                                           ,16.2                                                                                                ,NULL                                                                                                ,              1,             16,2022-12-01 19:41:00.000,             0,          NULL,                   NULL,Push                ,2022-12-01 19:42:00.000,'-1000                                                                                                                                                                                                  ,2023-02-07 22:17:00.000,'-1000                                                                                                                                                                                                  ,NULL                                                                                                                                                                                                    ,NULL                                                                                                                                                                                                    ,NULL                ,NULL                                                                                                ,NULL                                                                                                ,                   0,          0,B504D867-64AC-429B-A3B9-7C38D3C601D7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,A1B4C46A-DC6E-4822-A0E4-FB9F9E4DB3EE                                                                                                                                                                    ,       NULL,               0,NULL                                              ,NULL                                                                                                ,iPhone14,2                                                                                          ,NULL                
