_DeviceID                                                                                                                                                                                               ,_APID                                 ,_Value                                                                                                                          ,_CreatedDate           ,_CreatedBy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,_ModifiedDate          ,_ModifiedBy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------,--------------------------------------------------------------------------------------------------------------------------------,-----------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-----------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D825CC57-D1F0-4770-9370-3B2DE0F1713C                                                                                                                                                                    ,F20CA16F-33C3-478A-872E-C37521E11174  ,IOS                                                                                                                             ,2022-11-25 10:12:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2022-11-25 10:12:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
D825CC57-D1F0-4770-9370-3B2DE0F1713C                                                                                                                                                                    ,F20CA16F-33C3-478A-872E-C37521E11174  ,iPhone                                                                                                                          ,2022-11-25 10:12:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2022-11-25 10:12:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
D9D709FB-1B9B-4ADC-9EF9-D30FB832DCDB                                                                                                                                                                    ,F20CA16F-33C3-478A-872E-C37521E11174  ,ALL                                                                                                                             ,2022-11-25 10:13:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2022-11-25 10:13:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
D9D709FB-1B9B-4ADC-9EF9-D30FB832DCDB                                                                                                                                                                    ,F20CA16F-33C3-478A-872E-C37521E11174  ,IOS                                                                                                                             ,2022-11-25 10:13:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2022-11-25 10:13:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
D9D709FB-1B9B-4ADC-9EF9-D30FB832DCDB                                                                                                                                                                    ,F20CA16F-33C3-478A-872E-C37521E11174  ,iPhone                                                                                                                          ,2022-11-25 10:13:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2022-11-25 10:13:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DA8B0846-C114-4A12-AA0B-BADC31C46497                                                                                                                                                                    ,F20CA16F-33C3-478A-872E-C37521E11174  ,ALL                                                                                                                             ,2022-11-25 10:14:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2022-11-25 10:14:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DA8B0846-C114-4A12-AA0B-BADC31C46497                                                                                                                                                                    ,F20CA16F-33C3-478A-872E-C37521E11174  ,IOS                                                                                                                             ,2022-11-25 10:14:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2022-11-25 10:14:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DA8B0846-C114-4A12-AA0B-BADC31C46497                                                                                                                                                                    ,F20CA16F-33C3-478A-872E-C37521E11174  ,iPhone                                                                                                                          ,2022-11-25 10:14:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2022-11-25 10:14:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
E0191605-2FC1-4FBF-BBA2-AF706FDFC7F7                                                                                                                                                                    ,F20CA16F-33C3-478A-872E-C37521E11174  ,ALL                                                                                                                             ,2022-11-25 10:12:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2022-11-25 10:12:00.000,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
